0, 20223
1333, 16604
2666, 14031
3999, 11714
5332, 9684
6665, 8089
7998, 6554
9331, 5374
10664, 4525
11997, 3941
13330, 3272
14663, 2894
15996, 2612
17329, 2309
18662, 2107
19995, 1973
21328, 1824
22661, 1807
23994, 1688
25327, 1665
26660, 1593
27993, 1593
29326, 1520
30659, 1493
31992, 1429
33325, 1366
34658, 1282
35991, 1246
37324, 1226
38657, 1204
39990, 1123
41323, 1122
42656, 1071
43989, 1043
45322, 1011
46655, 1004
47988, 951
49321, 937
50654, 933
51987, 938
53320, 915
54653, 901
55986, 961
57319, 928
58652, 906
59985, 905
61318, 911
62651, 865
63984, 844
65317, 842
66650, 824
67983, 801
69316, 833
70649, 807
71982, 827
73315, 794
74648, 773
75981, 789
77314, 761
78647, 745
79980, 750
81313, 786
82646, 750
83979, 731
85312, 720
86645, 722
87978, 715
89311, 690
90644, 701
91977, 699
93310, 683
94643, 686
95976, 661
97309, 639
98642, 646
99975, 640
101308, 653
102641, 628
103974, 627
105307, 644
106640, 636
107973, 649
109306, 658
110639, 648
111972, 645
113305, 633
114638, 639
115971, 636
117304, 628
118637, 620
119970, 632
121303, 636
122636, 609
123969, 630
125302, 632
126635, 614
127968, 634
129301, 624
130634, 613
131967, 638
133300, 644
134633, 620
135966, 646
137299, 627
138632, 624
139965, 627
141298, 616
142631, 629
143964, 615
145297, 630
146630, 625
147963, 614
149296, 597
150629, 632
151962, 634
153295, 594
154628, 633
155961, 609
157294, 606
158627, 599
159960, 599
161293, 589
162626, 594
163959, 615
165292, 599
166625, 596
167958, 666
169291, 648
170624, 621
171957, 633
173290, 623
174623, 615
175956, 626
177289, 623
178622, 632
179955, 587
181288, 636
182621, 634
183954, 604
185287, 639
186620, 634
187953, 653
189286, 656
190619, 618
191952, 624
193285, 615
194618, 601
195951, 624
197284, 652
198617, 601
199950, 618
