1000, 21950
2000, 19364
3000, 17060
4000, 15035
5000, 13021
6000, 11202
7000, 9589
8000, 8251
9000, 7314
10000, 6598
11000, 5994
12000, 5598
13000, 5287
14000, 5094
15000, 4928
16000, 4837
17000, 4740
18000, 4597
19000, 4511
20000, 4453
21000, 4387
22000, 4329
23000, 4257
24000, 4205
25000, 4131
26000, 4123
27000, 4125
28000, 4099
29000, 4089
30000, 4057
31000, 4037
32000, 4009
33000, 3959
34000, 3979
35000, 3946
36000, 3933
37000, 3943
38000, 3945
39000, 3941
40000, 3959
41000, 3943
42000, 3933
43000, 3961
44000, 3973
45000, 3963
46000, 3963
47000, 3951
48000, 3921
49000, 3947
50000, 3937
51000, 3946
52000, 3949
53000, 3919
54000, 3942
55000, 3955
56000, 3933
57000, 3941
58000, 3927
59000, 3933
60000, 3937
61000, 3939
62000, 3951
63000, 3935
64000, 3938
65000, 3953
66000, 3935
67000, 3947
68000, 3939
69000, 3941
70000, 3944
71000, 3963
72000, 3944
73000, 3939
74000, 3951
75000, 3965
76000, 3951
77000, 3957
78000, 3947
79000, 3963
80000, 3951
81000, 3963
82000, 3957
83000, 3951
84000, 3939
85000, 3923
86000, 3935
87000, 3941
88000, 3943
89000, 3949
90000, 3931
91000, 3939
92000, 3963
93000, 3933
94000, 3951
95000, 3937
96000, 3921
97000, 3969
98000, 3937
99000, 3937
