0.004008, 193303.700560, 33822.842378, 49938.159523, 1.245007, -1.062426
0.006012, 51253.513153, 11360.001570, 51281.911581, -0.134720, -1.267095
0.008016, 249351.431037, 55066.073182, 80825.847175, -0.841019, 1.099480
0.010020, 414183.200541, 111047.180948, 103830.190930, 1.285314, 0.125543
0.012024, 451766.151190, 142849.425509, 119524.575112, 0.394684, -0.650171
0.014028, 385430.491820, 123954.328367, 100091.803603, -0.505770, -1.529940
0.016032, 279723.763636, 104821.701953, 84409.937526, -1.384301, 0.576085
0.018036, 18071.440560, 31728.529233, 42298.404118, -0.467181, 0.477265
0.020040, 346573.011568, 182189.295225, 134899.240154, -1.547332, 0.190589
0.022044, 224460.111626, 61782.577750, 82661.159106, -1.508677, 0.296748
0.024048, 170294.861518, 38546.951631, 115506.080540, 1.234459, 0.780708
0.026052, 78675.269138, 31137.845515, 50025.847515, 0.095490, -0.185738
0.028056, 34498.135530, 41199.070314, 32563.377000, -0.472357, -0.763358
0.030060, 86813.840422, 23123.629161, 71847.283995, -0.190282, 0.382663
0.032064, 33708.040075, 23932.882803, 56668.425553, -0.831273, -1.239017
0.034068, 38636.064200, 33366.099033, 47336.022345, 1.304715, -1.459966
0.036072, 9936.957396, 12633.868072, 46237.523289, 0.079150, 0.696681
0.038076, 31527.778287, 23973.675330, 26495.996592, -0.092804, 1.086968
0.040080, 56551.636855, 40916.910070, 50369.604473, 0.826147, -1.054087
0.042084, 2230.516753, 11786.119428, 42389.504989, -0.333979, 0.547349
0.044088, 22165.761019, 14282.976517, 24462.915336, -0.191490, -1.321401
0.046092, 25109.121621, 7647.379742, 7586.475567, -1.121753, 0.810961
0.048096, 25974.300485, 27549.265124, 11998.930030, 0.012106, -1.413820
0.050100, 25477.129502, 3428.215054, 6161.726399, -1.505216, 0.787280
0.052104, 22196.087549, 5574.108026, 6318.241425, -1.327502, 0.964331
0.054108, 21210.083672, 5175.459302, 12842.275118, -1.538522, 1.230824
0.056112, 16991.475901, 2566.922061, 15978.245416, 1.416599, 0.816004
0.058116, 10225.854983, 6704.987220, 18303.022932, 1.384844, -1.403331
0.060120, 1173.760408, 12666.845894, 22270.136972, -1.038422, -1.345809
0.062124, 8050.341234, 8294.548118, 24590.134144, 0.409876, -0.562963
0.064128, 8291.944103, 6633.303638, 27877.241061, 0.098373, -0.510768
0.066132, 14879.097599, 8925.262283, 19720.038688, -1.094207, 0.349531
0.068136, 6232.832951, 10452.908829, 25861.070784, -0.090570, 1.429626
0.070140, 8772.467117, 9128.542870, 18415.614153, -0.379244, 1.373061
0.072144, 3144.611365, 7087.957409, 21895.978292, -1.172288, -1.256257
0.074148, 3377.490478, 8040.067387, 17065.040496, -0.440500, -1.306503
0.076152, 6635.602045, 5508.626075, 15851.207970, -0.992271, -1.533556
0.078156, 5532.447818, 9074.603765, 14055.177744, -0.307393, -1.443497
0.080160, 8653.694164, 4434.600912, 14325.669755, -1.325662, 1.430039
0.082164, 1878.268487, 6804.825583, 17416.302039, -1.030818, -1.303920
0.084168, 6786.401473, 2004.321776, 18137.501582, -1.447241, 1.476356
0.086172, 5853.528930, 4108.956051, 17586.696871, -1.299997, -1.496795
0.088176, 7147.697251, 3939.465917, 19556.410124, -1.273903, 1.250514
0.090180, 4540.525836, 4782.604857, 19470.870478, -1.511793, -1.511169
0.092184, 3233.455938, 5104.565607, 19734.232345, -1.056864, -1.468561
0.094188, 4041.446982, 6639.826578, 18202.108687, -0.600515, -1.524665
0.096192, 3652.553227, 6813.039890, 14882.526589, -0.875893, -1.527380
