0.004008, 298796.100136, 41335.287149, -1.507963, -0.432182
0.006012, 294503.906037, 52997.613984, 1.427502, -0.247638
0.008016, 260158.510194, 46332.299110, 1.000021, -0.736347
0.010020, 278563.163524, 60951.359786, 0.966972, -0.266674
0.012024, 579149.257048, 153703.065102, 0.383112, -0.687593
0.014028, 606004.271681, 177211.839003, -0.668673, 1.311887
0.016032, 363782.902857, 123587.961187, 1.218285, -0.491673
0.018036, 53421.372416, 101042.843045, 0.282436, -0.034265
0.020040, 104365.635473, 43349.888162, 0.798654, 0.851230
0.022044, 155851.827503, 32861.014402, 1.066748, -0.356303
0.024048, 167388.898739, 25841.115275, 0.782885, -0.824232
0.026052, 103543.432447, 21745.194945, 0.202203, -0.584748
0.028056, 35051.828062, 36780.213069, -1.179460, 1.523037
0.030060, 68091.050892, 29621.290314, 0.858403, -0.408487
0.032064, 80358.204743, 18888.743162, -0.118795, 1.132765
0.034068, 26468.348689, 8124.156913, -0.374241, 0.377615
0.036072, 20595.825445, 15574.300271, 1.293257, 1.223137
0.038076, 16360.623418, 19131.624370, -1.328263, -0.365144
0.040080, 21524.739175, 22950.343421, 0.476128, -1.023608
0.042084, 28567.825235, 30444.641765, 1.159758, -0.863434
0.044088, 21788.869266, 6816.096149, -0.939292, -0.281109
0.046092, 31239.779938, 3778.840188, -1.285205, -0.994917
0.048096, 19099.304837, 6395.668670, -1.307967, -0.997974
0.050100, 26301.225840, 4247.701615, -1.476139, 0.135425
0.052104, 25538.512643, 6688.616309, -1.543777, 0.770538
0.054108, 19126.981297, 5958.192800, 1.030835, -0.446754
0.056112, 12156.076005, 11374.904363, 0.511272, -0.660703
0.058116, 22972.242451, 3466.078807, 1.083176, 0.951691
0.060120, 18534.086458, 2426.670667, 1.098397, -0.844186
0.062124, 17644.337754, 5582.857659, 1.432777, 0.073475
0.064128, 7939.147658, 9556.820553, -0.955738, 1.025191
0.066132, 10187.570802, 2275.791530, 0.942842, 0.026103
0.068136, 11377.113151, 389.071292, 1.406420, -1.247952
0.070140, 13716.487744, 4889.728414, -1.243330, 0.446976
0.072144, 6198.628783, 5113.993540, -1.375581, -1.413806
0.074148, 12121.349248, 5368.798972, -1.202655, 0.819742
0.076152, 8519.261295, 2386.124013, 1.553972, -0.790113
0.078156, 11962.508264, 4400.212437, -1.239628, 0.970652
0.080160, 8080.658476, 2983.414491, -1.497445, -1.364150
0.082164, 10299.224628, 2275.397230, 1.205940, -0.173925
0.084168, 11276.872051, 2838.763891, -1.435222, 0.764127
0.086172, 5599.524567, 6432.693758, -1.166558, -1.544102
0.088176, 5213.864917, 4589.112833, -1.468322, -1.213814
0.090180, 6674.219135, 4132.645261, 1.340191, -1.247899
0.092184, 6679.433995, 1892.214327, -1.569529, -1.269452
0.094188, 9176.796309, 3733.609447, -1.273978, 1.124991
0.096192, 7101.759546, 731.681840, -1.558439, 1.541601
